,0,1,2,3,4,5,6,7,8,9,10,11,personID,numberPeople
0,,,,,,,117.44999999999891,-119.82000000000085,0.565143,58.89000000000067,-352.890000000001,0.21670099999999998,0,7
0,-0.030000000000143245,-527.4899999999991,0.10059799999999999,,,,-57.30000000000075,-0.7799999999986085,0.287958,116.25,234.90000000000123,0.331706,1,7
0,,,,,,,-57.60000000000218,0.5999999999994543,0.610843,708.3000000000004,823.889999999999,0.739603,2,7
0,0.8999999999991815,-0.9000000000008868,0.825141,,,,56.6399999999976,-56.039999999998145,0.7528600000000001,-939.4500000000016,-116.93999999999733,0.07936399999999999,3,7
0,,,,,,,,,,,,,4,7
0,2.1000000000015007,56.99999999999932,0.31743699999999997,,,,,,,,,,5,7
0,,,,,,,,,,,,,6,7
1,,,,,,,-175.95000000000027,118.3199999999988,0.24878299999999998,176.97000000000003,-234.51000000000022,0.195289,0,7
1,-1.4400000000000546,-1.2299999999999045,0.07825059999999999,,,,-177.20999999999947,59.48999999999842,0.26414499999999996,116.93999999999988,117.83999999999992,0.327897,1,7
1,,,,,,0.058334399999999995,-6992.789999999995,-1701.78,0.264641,-6876.63,-1293.2399999999984,0.383117,2,7
1,,,0.8136669999999999,,,,6996.989999999998,1408.4399999999994,0.76795,6992.7300000000005,1470.2399999999977,0.061265,3,7
1,,,,,,,,,,,,,4,7
1,-0.42000000000030013,0.4800000000005866,0.286906,,,,,,,,,,5,7
1,,,,,,,,,,,,,6,7
2,,,,,,,117.57000000000119,57.78000000000134,0.512636,117.44999999999891,-176.30999999999858,0.109314,0,7
2,-55.55999999999926,0.23999999999944066,0.08343729999999999,,,,56.16000000000042,-58.530000000000655,0.495089,-58.16999999999979,-58.28999999999951,0.447445,1,7
2,,,0.829063,,,,7050.689999999997,1410.1499999999999,0.766438,6994.830000000002,1470.7799999999986,0.07022919999999999,2,7
2,,,,,,0.0699388,-6997.4699999999975,-1411.3800000000015,0.24258000000000002,,,0.508714,3,7
2,,,,,,,,,,,,,4,7
2,1.2299999999981992,0.7799999999986085,0.302067,,,,,,,,,,5,7
2,,,,,,,,,,,,,6,7
2,,,,,,,,,,,,,7,7
3,,,,,,,56.75999999999988,-59.55000000000041,0.589487,117.45000000000061,-117.30000000000246,0.12028000000000001,0,8
3,55.94999999999942,-1.5899999999999181,0.0890658,,,,-116.21999999999986,116.91000000000145,0.438791,,,0.44210299999999997,1,8
3,,,,,,0.051356099999999995,-6993.989999999998,-1470.4799999999989,0.33126099999999997,,,0.40213699999999997,2,8
3,,,0.8366159999999999,,,,6995.669999999999,1409.730000000003,0.766559,,,,3,8
3,,,,1.1400000000003274,-1.9799999999992224,0.119254,,,,,,,4,8
3,54.839999999999236,1.3800000000014734,0.257722,,,,,,,,,,5,8
3,,,,,,,,,,,,,6,8
3,,,,,,,,,,,,,7,8
4,,,,,,,0.8699999999998909,-56.040000000001555,0.55481,-235.23000000000025,587.6099999999997,0.0893269,0,8
