,0,1,2,3,4,5,6,7,8,9,10,11,personID,numberPeople
0,,,,-0.9000000000000341,0.14999999999986358,0.24604199999999998,-0.29999999999972715,0.08999999999957708,0.624234,-0.06000000000028649,0.18000000000000682,0.631741,0,2
0,28.859999999999673,-28.799999999999812,0.298022,205.16999999999996,-116.57999999999987,0.10880899999999999,-58.230000000000075,0.36000000000001364,0.702386,0.6600000000005934,27.720000000000198,0.8029700000000001,1,2
1,,,,0.05999999999943384,0.0,0.237366,0.0,0.0,0.625058,0.0,0.0,0.6265029999999999,0,2
1,0.0,-0.030000000000143245,0.38841699999999996,-0.06000000000028649,0.0,0.102876,0.030000000000143245,0.0,0.773064,0.0,0.0,0.843452,1,2
2,,,,0.06000000000028649,0.0,0.23735499999999998,-0.030000000000143245,0.0,0.624972,0.030000000000143245,-0.030000000000143245,0.626586,0,2
2,0.030000000000143245,0.0,0.38826299999999997,0.0,0.0,0.104062,0.030000000000143245,0.0,0.772494,-0.030000000000143245,-0.030000000000143245,0.843217,1,2
3,,,,0.0,0.0,0.23791,0.0,0.0,0.624211,0.0,0.0,0.625687,0,2
3,0.0,0.0,0.38884399999999997,0.0,0.0,0.10442799999999999,0.0,0.0,0.774482,0.0,0.0,0.8443649999999999,1,2
4,,,,0.18000000000000682,0.030000000000143245,0.237831,0.0,-0.23999999999944066,0.624033,0.08999999999957708,-0.3900000000001569,0.62546,0,2
4,-0.030000000000143245,0.030000000000143245,0.38882000000000005,0.14999999999986358,-0.030000000000143245,0.104401,-0.2400000000002933,-0.030000000000143245,0.7745200000000001,0.0,0.0,0.8443689999999999,1,2
5,,,,-87.95999999999964,0.7499999999997442,0.237528,-27.44999999999976,-57.87000000000006,0.615422,-117.33000000000004,-145.97999999999956,0.6199939999999999,0,2
5,,,0.392225,-147.2399999999996,145.2000000000001,0.105517,352.71000000000015,2.0100000000002183,0.778419,-89.42999999999984,0.9300000000001774,0.844383,1,2
