,0,1,2,3,4,5,6,7,8,9,10,11,personID,numberPeople
0,-56.100000000000136,0.6900000000007367,0.585735,-177.69000000000005,56.700000000001296,0.178526,117.06000000000131,59.46000000000083,0.08500569999999999,,,,0,3
0,175.41000000000025,0.12000000000057298,0.572427,,,,-1.3199999999994816,116.61000000000172,0.264065,,,,1,3
0,0.5999999999994543,0.8400000000006003,0.822105,-0.8999999999991815,58.22999999999922,0.795086,,,,,,,2,3
1,-2.520000000001801,-0.45000000000129603,0.5573779999999999,-234.38999999999965,-57.11999999999989,0.324013,,,0.0825978,,,0.0764763,0,3
1,60.900000000000034,56.459999999998445,0.5913700000000001,,,,59.850000000000136,-116.25,0.330988,1.6199999999992087,57.660000000000764,0.36280399999999996,1,3
1,-0.5999999999994543,1.9799999999992224,0.8372879999999999,-58.499999999997954,56.610000000000014,0.8171149999999999,,,,,,,2,3
2,-57.11999999999989,-0.7200000000000273,0.481713,0.8400000000006003,-0.14999999999986358,0.197716,,,,,,,0,3
2,-0.4800000000005866,1.1700000000013233,0.5505479999999999,,,,-57.81000000000063,57.50999999999749,0.27597299999999997,0.6599999999997408,-56.460000000001855,0.38937000000000005,1,3
2,-0.8999999999991815,54.570000000000505,0.840151,1.4999999999986358,1.2299999999999045,0.8435269999999999,,,,,,,2,3
3,-0.6299999999987449,-115.43999999999869,0.41970399999999997,-58.62000000000194,1527.0899999999988,0.0718647,,,,,,,0,3
3,-59.219999999999686,-57.030000000000314,0.542064,,,,-1.1999999999989086,-0.5700000000001637,0.262686,57.27000000000146,55.8299999999997,0.37543499999999996,1,3
3,0.29999999999972715,1.0500000000007503,0.8375159999999999,56.69999999999959,0.9600000000011732,0.84511,,,,,,,2,3
4,58.01999999999907,59.09999999999911,0.379444,,,0.0514884,,,,,,,0,3
4,58.139999999999645,55.91999999999928,0.563576,,,,-58.290000000001214,2.07000000000221,0.280271,1.8599999999986494,-56.2199999999973,0.363245,1,3
4,-55.799999999997,-0.14999999999986358,0.8485100000000001,0.0,0.29999999999972715,0.8527739999999999,,,,,,,2,3
5,0.12000000000057298,-0.06000000000028649,0.190801,,,,,,,59.48999999999842,57.65999999999906,0.169405,0,3
5,-1.4999999999994884,0.8100000000013097,0.5485559999999999,,,,117.21000000000117,-59.16000000000281,0.30549000000000004,-178.19999999999993,174.74999999999795,0.35058,1,3
5,-0.29999999999972715,-0.18000000000085947,0.8474200000000001,1.799999999998363,-0.06000000000028649,0.8421500000000001,,,,,,,2,3
6,-57.21000000000117,-59.429999999999836,0.33640000000000003,,,0.0622312,,,,0.12000000000057298,0.29999999999972715,0.08640479999999999,0,3
6,-57.06000000000046,-57.030000000000314,0.575599,58.349999999999795,-0.38999999999930424,0.0768674,-117.66000000000076,58.29000000000292,0.263646,119.31000000000097,-175.73999999999842,0.307956,1,3
6,55.799999999997,0.0,0.8455100000000001,1.500000000005457,-0.23999999999944066,0.846814,,,,,,,2,3
7,57.240000000000464,-58.799999999999386,0.34474000000000005,,,,,,0.0553306,58.38000000000079,57.99000000000149,0.12519000000000002,0,3
7,57.51000000000005,56.27999999999929,0.581234,0.4800000000005866,58.01999999999907,0.0964656,-0.06000000000028649,-0.5700000000001637,0.319392,-2.490000000000805,57.359999999997626,0.34263000000000005,1,3
7,1.1999999999989086,0.4800000000005866,0.8475079999999999,-0.5999999999994543,0.32999999999901775,0.840401,,,,,,,2,3
8,2.0699999999987995,58.41000000000008,0.328182,,,,,,,0.24000000000114596,0.20999999999844476,0.0701495,0,3
8,-58.41000000000008,0.42000000000030013,0.567654,57.77999999999963,0.14999999999986358,0.120484,,,0.301946,,,0.301458,1,3
8,0.0,-0.6300000000004502,0.8578239999999999,56.099999999996726,-0.029999999999290594,0.8420989999999999,,,,,,,2,3
9,-16986.09,2645.369999999999,0.357726,,,,,,,,,0.0608082,0,3
9,17044.68,-2526.8099999999995,0.5819139999999999,20393.129999999997,-2408.7599999999993,0.10842199999999999,,,,,,,1,3
9,1.4999999999986358,0.5399999999991678,0.847768,0.8999999999991815,-0.42000000000030013,0.841737,,,,,,,2,3
